CPU,RAM,Storage,GPU,ScreenSize,ScreenType,TouchType,Form,Region,Price in INR
CPU 6,RAM 15,S 23,GPU 28,15,HD,Non-Touch,Laptop,CHN,670124.952
CPU 25,RAM 15,S 41,GPU 4,17,HD+,Non-Touch,Laptop,IND,1019227.832
CPU 35,RAM 15,S 54,GPU 1,17,FHD,Non-Touch,Laptop,GER,1312582.6
CPU 35,RAM 15,S 23,GPU 28,15,FHD,Non-Touch,Laptop,GER,609620.5248
CPU 19,RAM 7,S 61,GPU 11,DT,DT,DT,Desktop,CAN,10505023.8384
CPU 25,RAM 15,S 4,GPU 5,17,FHD,Touch,Laptop,BRA,1701476.38808
CPU 20,RAM 7,S 41,GPU 28,13,FHD,Touch,Laptop,USA,1079272.656
CPU 20,RAM 3,S 70,GPU 7,15,FHD,Non-Touch,Laptop,CHN,4001155.2
CPU 25,RAM 15,S 54,GPU 28,17,FHD,Non-Touch,Laptop,IND,1593562.152
CPU 20,RAM 3,S 55,GPU 3,DT,DT,DT,Desktop,IND,2066166.312
CPU 25,RAM 11,S 23,GPU 28,15,HD+,Touch,Laptop,CHN,912336.138
CPU 44,RAM 13,S 23,GPU 28,DT,DT,DT,Desktop,CAN,599385.15
CPU 20,RAM 15,S 33,GPU 7,17,UHD,Non-Touch,Laptop,BRA,2666894.2146
CPU 20,RAM 15,S 5,GPU 19,17,QHD,Non-Touch,Laptop,FRA,1627977.477
CPU 25,RAM 3,S 42,GPU 4,15,FHD,Non-Touch,Laptop,GER,1032490.172
CPU 20,RAM 15,S 53,GPU 28,DT,DT,DT,Desktop,FRA,1001827.477
CPU 25,RAM 3,S 40,GPU 19,15,FHD,Non-Touch,Laptop,BRA,1782375.74445
CPU 20,RAM 3,S 58,GPU 7,DT,DT,DT,Laptop,IND,2212137.858
CPU 25,RAM 15,S 54,GPU 28,13,FHD,Non-Touch,Laptop,AUS,1014742.05
CPU 20,RAM 3,S 4,GPU 8,DT,DT,DT,Desktop,FRA,1309659.407
CPU 25,RAM 15,S 23,GPU 12,15,FHD,Non-Touch,Laptop,AUS,1170960.105
CPU 20,RAM 3,S 46,GPU 28,13,FHD,Non-Touch,Laptop,CAN,1436635.2
CPU 25,RAM 3,S 41,GPU 28,13,UHD,Touch,Laptop,AUS,2442405.42
CPU 25,RAM 15,S 56,GPU 14,15,FHD,Non-Touch,Laptop,AUS,1134881.58
CPU 25,RAM 15,S 41,GPU 28,12,HD+,Non-Touch,Laptop,AUS,1322076.105
CPU 20,RAM 7,S 70,GPU 19,15,FHD,Non-Touch,Laptop,FRA,1894187.372
CPU 42,RAM 3,S 23,GPU 28,15,FHD,Non-Touch,Laptop,GER,533911.84
CPU 35,RAM 15,S 28,GPU 28,23,FHD,Non-Touch,Desktop,CAN,1395377.5836
CPU 22,RAM 3,S 54,GPU 3,15,UHD,Non-Touch,Laptop,CAN,5903335.6018
CPU 1,RAM 3,S 52,GPU 28,15,FHD,Non-Touch,Laptop,BRA,4833591.1897
CPU 20,RAM 15,S 59,GPU 14,DT,DT,DT,Desktop,FRA,1457842.323
CPU 22,RAM 15,S 23,GPU 3,17,FHD,Non-Touch,Laptop,GBR,4546471.468
CPU 25,RAM 3,S 4,GPU 3,DT,DT,DT,Desktop,IND,2982020.244
CPU 20,RAM 15,S 39,GPU 28,14,HD+,Non-Touch,Laptop,CHN,1003235.94
CPU 22,RAM 15,S 55,GPU 18,DT,DT,DT,Desktop,FRA,1949130.302
CPU 10,RAM 3,S 54,GPU 12,15,FHD,Non-Touch,Laptop,IND,1643070.94
CPU 25,RAM 8,S 23,GPU 5,15,FHD,Non-Touch,Laptop,USA,1461886.20144
CPU 5,RAM 15,S 23,GPU 28,15,FHD,Touch,Laptop,GER,1279774.65
CPU 20,RAM 15,S 4,GPU 28,DT,DT,DT,Desktop,BRA,1392833.52607
CPU 6,RAM 15,S 41,GPU 5,15,FHD,Non-Touch,Laptop,CAN,1159290.314
CPU 20,RAM 3,S 23,GPU 26,17,FHD,Non-Touch,Laptop,GBR,3688374.088
CPU 20,RAM 15,S 4,GPU 14,17,FHD,Non-Touch,Desktop,IND,1725416.532
CPU 22,RAM 3,S 41,GPU 17,15,FHD,Non-Touch,Laptop,FRA,1530467.246
CPU 2,RAM 15,S 41,GPU 28,13,FHD,Touch,Laptop,AUS,973348.11
CPU 1,RAM 7,S 45,GPU 3,17,UHD,Non-Touch,Laptop,IND,6018383.028
CPU 20,RAM 3,S 54,GPU 28,13,FHD,Touch,Laptop,GBR,2350160.54
CPU 20,RAM 3,S 70,GPU 19,DT,DT,DT,Desktop,AUS,2046825.69
CPU 20,RAM 3,S 52,GPU 26,17,FHD,Non-Touch,Laptop,CAN,4565401.75
CPU 6,RAM 15,S 23,GPU 21,DT,DT,DT,Desktop,FRA,1147847.246
CPU 25,RAM 3,S 56,GPU 33,DT,DT,DT,Desktop,FRA,1005572.19
CPU 20,RAM 3,S 34,GPU 26,DT,DT,DT,Desktop,IND,3622317.272
CPU 22,RAM 7,S 52,GPU 26,DT,DT,DT,Desktop,FRA,2147363.218
CPU 20,RAM 3,S 52,GPU 28,DT,DT,DT,Desktop,FRA,1392709.311
CPU 20,RAM 3,S 54,GPU 32,15,UHD,Non-Touch,Laptop,FRA,3273677.162
CPU 20,RAM 3,S 23,GPU 28,12,FHD+,Non-Touch,Laptop,AUS,2306867.745
CPU 20,RAM 3,S 23,GPU 26,DT,DT,DT,Desktop,IND,3322148.046
CPU 20,RAM 3,S 53,GPU 7,17,UHD,Non-Touch,Laptop,FRA,2200899.204
CPU 19,RAM 2,S 54,GPU 11,DT,DT,DT,Desktop,IND,13149234.42
CPU 20,RAM 3,S 41,GPU 5,14,FHD,Non-Touch,Laptop,FRA,1543907.134
CPU 25,RAM 13,S 41,GPU 28,13,FHD,Non-Touch,Laptop,AUS,926159.01
CPU 25,RAM 8,S 23,GPU 28,15,FHD,Touch,Laptop,GBR,1138321.597
CPU 1,RAM 7,S 23,GPU 14,15,UHD,Non-Touch,Laptop,BRA,4346089.1257
CPU 13,RAM 3,S 56,GPU 25,17,HD,Non-Touch,Laptop,FRA,2445857.127
CPU 12,RAM 5,S 43,GPU 19,DT,DT,DT,Desktop,FRA,1066703.148
CPU 25,RAM 3,S 23,GPU 28,15,HD+,Non-Touch,Laptop,AUS,1387823.22
CPU 25,RAM 15,S 54,GPU 28,15,FHD,Touch,Laptop,FRA,1201733.078
CPU 20,RAM 15,S 23,GPU 28,17,FHD,Non-Touch,Laptop,CAN,1847166.23
CPU 25,RAM 13,S 4,GPU 28,17,FHD,Non-Touch,Laptop,BRA,986946.2988
CPU 25,RAM 15,S 4,GPU 28,17,FHD,Non-Touch,Laptop,IND,1521620.856
CPU 25,RAM 3,S 56,GPU 28,15,FHD,Non-Touch,Desktop,AUS,1449594.195
CPU 25,RAM 15,S 23,GPU 28,13,FHD,Non-Touch,Laptop,AUS,1027661.565
CPU 42,RAM 13,S 4,GPU 28,15,FHD,Non-Touch,Laptop,AUS,696215.52
CPU 42,RAM 13,S 23,GPU 29,15,HD+,Non-Touch,Laptop,GER,524736.394
CPU 22,RAM 15,S 54,GPU 18,15,FHD,Non-Touch,Laptop,AUS,1750890.435
CPU 20,RAM 8,S 23,GPU 7,17,FHD,Non-Touch,Laptop,FRA,2585906.4
CPU 20,RAM 14,S 23,GPU 4,15,FHD,Non-Touch,Laptop,CHN,1087196.544
CPU 6,RAM 15,S 40,GPU 14,15,FHD,Non-Touch,Laptop,BRA,1413768.30805
CPU 25,RAM 15,S 56,GPU 28,14,FHD,Non-Touch,Laptop,AUS,1127673.54
CPU 25,RAM 1,S 40,GPU 28,15,FHD,Non-Touch,Laptop,BRA,991752.85545
CPU 25,RAM 15,S 23,GPU 4,DT,DT,DT,Desktop,USA,1448036.352
CPU 2,RAM 13,S 40,GPU 28,15,HD,Non-Touch,Laptop,GBR,1109541.86
CPU 20,RAM 15,S 40,GPU 7,DT,DT,DT,Desktop,FRA,1138011.994
CPU 25,RAM 3,S 4,GPU 19,DT,DT,DT,Desktop,IND,1375721.172
CPU 6,RAM 15,S 23,GPU 28,14,HD+,Non-Touch,Laptop,AUS,704396.28
CPU 20,RAM 3,S 54,GPU 5,14,FHD,Non-Touch,Laptop,IND,2376236.8
CPU 22,RAM 7,S 23,GPU 26,17,FHD,Non-Touch,Laptop,IND,4372383.092
CPU 14,RAM 15,S 41,GPU 28,15,FHD,Non-Touch,Laptop,FRA,651336.973
CPU 20,RAM 15,S 28,GPU 28,27,FHD,Non-Touch,Desktop,CAN,2134420.47
CPU 20,RAM 7,S 55,GPU 3,17,FHD,Non-Touch,Laptop,AUS,4107719.385
CPU 10,RAM 3,S 23,GPU 18,DT,DT,DT,Desktop,FRA,1529878.924
CPU 25,RAM 15,S 70,GPU 28,21,FHD,Non-Touch,Desktop,CAN,1236558.96
CPU 25,RAM 3,S 56,GPU 26,DT,DT,DT,Desktop,CAN,3305876.5467
CPU 20,RAM 3,S 41,GPU 28,15,FHD,Touch,Laptop,FRA,1059709.917
CPU 25,RAM 15,S 41,GPU 5,15,UHD,Touch,Laptop,FRA,1951439.903
CPU 35,RAM 3,S 16,GPU 3,DT,DT,DT,Desktop,IND,6341554.702
CPU 42,RAM 15,S 70,GPU 28,17,HD+,Non-Touch,Laptop,IND,849810.276
CPU 2,RAM 3,S 41,GPU 28,14,FHD,Non-Touch,Laptop,AUS,826678.125
CPU 20,RAM 7,S 64,GPU 19,DT,DT,DT,Desktop,FRA,2210901
CPU 25,RAM 15,S 54,GPU 7,DT,DT,DT,Desktop,FRA,1342429.403
CPU 40,RAM 13,S 40,GPU 28,10,FHD+,Touch,Laptop,AUS,729794.205
CPU 42,RAM 13,S 53,GPU 4,15,HD+,Non-Touch,Laptop,GER,663079.76
CPU 25,RAM 15,S 5,GPU 28,15,FHD,Non-Touch,Laptop,GER,1037633.8
CPU 22,RAM 3,S 54,GPU 12,15,FHD,Non-Touch,Laptop,AUS,1597041.81
CPU 6,RAM 3,S 56,GPU 14,15,FHD,Non-Touch,Laptop,FRA,1274443.583
CPU 20,RAM 13,S 40,GPU 10,13,FHD,Touch,Laptop,IND,775299.294
CPU 20,RAM 3,S 18,GPU 7,DT,DT,DT,Desktop,IND,3267986.4
CPU 21,RAM 15,S 40,GPU 28,13,HD,Non-Touch,Laptop,FRA,1185646.826
CPU 20,RAM 15,S 41,GPU 4,15,FHD,Non-Touch,Laptop,USA,1059710.904
CPU 20,RAM 3,S 49,GPU 19,15,FHD,Non-Touch,Laptop,AUS,3362742.18
CPU 1,RAM 7,S 23,GPU 3,15,FHD,Non-Touch,Laptop,AUS,8118361.77495
CPU 20,RAM 15,S 54,GPU 10,15,FHD,Touch,Laptop,IND,2892850.24
CPU 22,RAM 3,S 70,GPU 18,DT,DT,DT,Desktop,AUS,2582381.34
CPU 19,RAM 12,S 54,GPU 11,DT,DT,DT,Desktop,FRA,4416055.798
CPU 42,RAM 15,S 23,GPU 28,15,HD+,Touch,Laptop,FRA,581490.784
CPU 25,RAM 13,S 23,GPU 28,13,FHD,Non-Touch,Laptop,GER,908833.086
CPU 6,RAM 15,S 56,GPU 28,17,HD+,Non-Touch,Laptop,IND,1169912.534
CPU 10,RAM 15,S 5,GPU 5,15,FHD,Non-Touch,Laptop,FRA,1059506.756
CPU 42,RAM 13,S 23,GPU 28,14,HD,Non-Touch,Laptop,CHN,577889.424
CPU 20,RAM 7,S 41,GPU 32,15,QHD+,Non-Touch,Laptop,IND,4842187.938
CPU 23,RAM 15,S 41,GPU 28,12,FHD+,Non-Touch,Laptop,AUS,1790576.025
CPU 20,RAM 3,S 39,GPU 19,15,UHD,Touch,Laptop,CHN,6279651
CPU 25,RAM 3,S 56,GPU 28,17,FHD,Non-Touch,Laptop,IND,1720231.73
CPU 19,RAM 3,S 17,GPU 3,DT,DT,DT,Desktop,FRA,5080481.735
CPU 16,RAM 15,S 23,GPU 28,DT,DT,DT,Desktop,FRA,797089.3
CPU 22,RAM 1,S 41,GPU 18,DT,DT,DT,Desktop,FRA,1592682.672
CPU 25,RAM 15,S 54,GPU 28,15,HD+,Touch,Laptop,FRA,795412.1
CPU 20,RAM 15,S 41,GPU 28,13,QHD,Non-Touch,Laptop,AUS,1276600.5
CPU 44,RAM 13,S 23,GPU 28,15,HD+,Non-Touch,Laptop,AUS,560751.66
CPU 25,RAM 15,S 41,GPU 28,17,HD+,Non-Touch,Laptop,IND,1021220.97
CPU 25,RAM 13,S 40,GPU 28,13,FHD,Non-Touch,Laptop,IND,989230.816
CPU 25,RAM 3,S 40,GPU 28,13,HD+,Non-Touch,Laptop,BRA,2202011.0567
CPU 20,RAM 15,S 23,GPU 5,15,FHD,Touch,Laptop,GER,1853864.922
CPU 20,RAM 3,S 41,GPU 5,17,FHD,Non-Touch,Laptop,BRA,1889496.82425
CPU 22,RAM 7,S 52,GPU 3,17,FHD,Non-Touch,Laptop,FRA,4008886.637
CPU 25,RAM 15,S 5,GPU 28,DT,DT,DT,Desktop,FRA,985973.8
CPU 20,RAM 3,S 39,GPU 28,14,FHD,Touch,Laptop,CHN,2943738
CPU 12,RAM 15,S 23,GPU 5,15,FHD,Non-Touch,Laptop,AUS,1004972.85
CPU 2,RAM 15,S 13,GPU 12,DT,DT,DT,Desktop,FRA,925897.581
CPU 20,RAM 7,S 70,GPU 28,15,QHD+,Non-Touch,Laptop,IND,7354416.552
CPU 22,RAM 3,S 5,GPU 18,17,FHD,Non-Touch,Laptop,FRA,2375646.616
CPU 20,RAM 3,S 41,GPU 28,15,QHD+,Non-Touch,Laptop,GBR,3568656
CPU 20,RAM 3,S 70,GPU 28,15,FHD,Non-Touch,Laptop,FRA,1204224
CPU 25,RAM 13,S 41,GPU 28,14,FHD,Non-Touch,Laptop,AUS,1209600
CPU 1,RAM 7,S 70,GPU 14,15,FHD,Non-Touch,Laptop,IND,5170871.51
CPU 10,RAM 15,S 11,GPU 17,DT,DT,DT,Desktop,FRA,1076306.546
CPU 25,RAM 3,S 41,GPU 28,14,FHD,Non-Touch,Laptop,AUS,1230198.795
CPU 25,RAM 15,S 41,GPU 28,12,FHD+,Touch,Laptop,AUS,1229558.4
CPU 6,RAM 13,S 23,GPU 5,15,FHD,Non-Touch,Laptop,AUS,1254925.56
CPU 20,RAM 15,S 56,GPU 14,DT,DT,DT,Desktop,IND,1524857.95
CPU 20,RAM 15,S 40,GPU 14,17,FHD,Non-Touch,Laptop,BRA,1767034.3705
CPU 20,RAM 3,S 42,GPU 2,DT,DT,DT,Desktop,FRA,2371352.711
CPU 25,RAM 15,S 4,GPU 14,17,FHD,Non-Touch,Desktop,IND,1594236.168
CPU 25,RAM 13,S 23,GPU 35,13,HD+,Non-Touch,Laptop,GER,754411.35
CPU 42,RAM 13,S 40,GPU 28,12,FHD,Touch,Laptop,FRA,485338.518
CPU 20,RAM 7,S 41,GPU 7,17,FHD,Non-Touch,Laptop,FRA,2647980.3
CPU 20,RAM 3,S 64,GPU 2,17,FHD,Non-Touch,Laptop,FRA,4537941.45
CPU 25,RAM 3,S 52,GPU 14,15,FHD,Non-Touch,Laptop,FRA,948136.455
CPU 42,RAM 3,S 23,GPU 5,13,QHD+,Touch,Laptop,AUS,4840903.2
CPU 25,RAM 13,S 23,GPU 28,14,HD+,Non-Touch,Laptop,AUS,918918.1071
CPU 22,RAM 3,S 70,GPU 28,15,QHD+,Non-Touch,Laptop,IND,6785740.332
CPU 18,RAM 13,S 40,GPU 28,15,FHD,Non-Touch,Laptop,CAN,563180.8
CPU 20,RAM 15,S 4,GPU 28,15,FHD,Touch,Laptop,FRA,1207983.427
CPU 25,RAM 15,S 23,GPU 5,DT,DT,DT,Desktop,CAN,1233851.3733
CPU 25,RAM 1,S 41,GPU 28,13,FHD,Non-Touch,Laptop,BRA,1034403.9069
CPU 12,RAM 3,S 56,GPU 10,17,FHD,Non-Touch,Laptop,CAN,2644970.51
CPU 5,RAM 15,S 23,GPU 6,15,FHD,Non-Touch,Laptop,CHN,2559720.56508
CPU 25,RAM 13,S 23,GPU 28,DT,DT,DT,Desktop,AUS,814596.3
CPU 7,RAM 13,S 39,GPU 28,14,HD+,Non-Touch,Laptop,AUS,489935.775
CPU 20,RAM 3,S 46,GPU 18,15,FHD,Non-Touch,Laptop,CHN,4506969.6
CPU 42,RAM 13,S 40,GPU 28,17,FHD,Non-Touch,Laptop,BRA,891262.32195
CPU 20,RAM 3,S 23,GPU 5,13,QHD+,Touch,Laptop,USA,4422901.392
CPU 20,RAM 7,S 16,GPU 19,17,FHD,Non-Touch,Laptop,FRA,2310809.9
CPU 6,RAM 15,S 18,GPU 19,DT,DT,DT,Desktop,IND,2009819.07
CPU 5,RAM 15,S 23,GPU 28,14,HD+,Non-Touch,Laptop,AUS,1086844.5
CPU 25,RAM 15,S 40,GPU 28,12,FHD,Touch,Laptop,FRA,1090635
CPU 12,RAM 13,S 54,GPU 1,15,FHD,Non-Touch,Desktop,GER,1469769.896
CPU 25,RAM 13,S 53,GPU 28,14,FHD,Non-Touch,Laptop,GER,861081.606
CPU 20,RAM 15,S 28,GPU 19,DT,DT,DT,Desktop,CAN,2130474.2459
CPU 7,RAM 15,S 40,GPU 28,13,FHD,Non-Touch,Laptop,AUS,942128.145
CPU 20,RAM 16,S 41,GPU 28,DT,DT,DT,Desktop,FRA,1368486.315
CPU 20,RAM 15,S 10,GPU 7,17,FHD,Non-Touch,Laptop,FRA,4307202.2
CPU 10,RAM 15,S 41,GPU 28,15,FHD,Non-Touch,Laptop,AUS,1314226.62
CPU 25,RAM 16,S 4,GPU 19,DT,DT,DT,Desktop,BRA,1711687.02957
CPU 12,RAM 3,S 49,GPU 28,15,FHD,Non-Touch,Laptop,AUS,2055694.41
CPU 22,RAM 15,S 54,GPU 34,DT,DT,DT,Desktop,AUS,1357381.305
CPU 20,RAM 3,S 52,GPU 26,15,FHD,Touch,Laptop,AUS,3088369.095
CPU 20,RAM 3,S 52,GPU 26,17,QHD,Non-Touch,Laptop,FRA,2881186.28
CPU 34,RAM 13,S 40,GPU 28,12,FHD+,Non-Touch,Laptop,AUS,741807.885
CPU 20,RAM 3,S 70,GPU 15,DT,DT,DT,Desktop,AUS,2373738.57
CPU 20,RAM 3,S 23,GPU 28,13,QHD,Touch,Laptop,IND,3891811.336
CPU 20,RAM 3,S 70,GPU 3,15,FHD,Non-Touch,Laptop,CHN,7732670.4
CPU 25,RAM 11,S 41,GPU 28,14,UHD,Non-Touch,Laptop,AUS,1175846.175
CPU 25,RAM 15,S 40,GPU 28,13,FHD+,Touch,Laptop,AUS,1444000.32
CPU 19,RAM 7,S 60,GPU 11,DT,DT,DT,Desktop,CAN,11824022.21
CPU 25,RAM 3,S 5,GPU 28,DT,DT,DT,Desktop,FRA,794351.712
CPU 20,RAM 15,S 23,GPU 18,17,FHD,Non-Touch,Laptop,IND,2491995.744
CPU 20,RAM 15,S 41,GPU 28,14,UHD,Touch,Laptop,FRA,1176301.161
CPU 25,RAM 15,S 70,GPU 4,15,HD+,Non-Touch,Laptop,GER,850961.93
CPU 22,RAM 7,S 55,GPU 11,DT,DT,DT,Desktop,CAN,5918895.0639
CPU 20,RAM 7,S 64,GPU 28,17,FHD,Touch,Laptop,FRA,2756640.6
CPU 20,RAM 3,S 41,GPU 28,13,QHD+,Non-Touch,Laptop,IND,3825820.544
CPU 19,RAM 7,S 44,GPU 11,DT,DT,DT,0,BRA,12061488.92312
CPU 20,RAM 7,S 48,GPU 11,DT,DT,DT,Desktop,IND,5416727.106
CPU 12,RAM 15,S 4,GPU 10,17,FHD,Non-Touch,Laptop,IND,1363556.67
CPU 42,RAM 13,S 39,GPU 28,14,HD,Non-Touch,Laptop,CHN,596521.5984
CPU 40,RAM 13,S 39,GPU 28,15,UHD,Non-Touch,Laptop,FRA,458521.105
CPU 20,RAM 3,S 52,GPU 19,DT,DT,DT,Desktop,IND,2623057.164
CPU 6,RAM 13,S 23,GPU 28,13,FHD,Touch,Laptop,GER,1148110.572
CPU 25,RAM 11,S 4,GPU 28,13,FHD,Touch,Laptop,FRA,1193150.126
CPU 20,RAM 3,S 55,GPU 19,15,UHD,Non-Touch,Laptop,BRA,3182092.0341
CPU 20,RAM 3,S 54,GPU 19,17,FHD,Non-Touch,Laptop,AUS,4485443.865
CPU 42,RAM 15,S 23,GPU 28,DT,DT,DT,Desktop,CAN,902730.92
CPU 25,RAM 3,S 7,GPU 19,DT,DT,DT,Desktop,IND,2080665.09
CPU 25,RAM 3,S 4,GPU 19,15,FHD,Non-Touch,Laptop,FRA,1602741.063
CPU 20,RAM 15,S 23,GPU 26,15,FHD,Non-Touch,Laptop,GBR,3036002.172
CPU 25,RAM 15,S 56,GPU 28,DT,DT,DT,Desktop,FRA,694408.4
CPU 20,RAM 15,S 54,GPU 3,15,FHD,Non-Touch,0,BRA,4185993.52815
CPU 8,RAM 3,S 56,GPU 2,DT,DT,DT,Desktop,CAN,4465045.585
CPU 20,RAM 7,S 55,GPU 7,DT,DT,DT,Desktop,IND,5422698.26
CPU 25,RAM 13,S 4,GPU 19,15,FHD,Non-Touch,Laptop,AUS,1610322.84
CPU 20,RAM 15,S 23,GPU 17,17,FHD,Non-Touch,Laptop,GBR,2593234
CPU 12,RAM 3,S 54,GPU 17,15,FHD,Non-Touch,Laptop,AUS,2094540.525
CPU 6,RAM 15,S 54,GPU 28,13,FHD,Non-Touch,Laptop,IND,1485263.68956
CPU 22,RAM 3,S 1,GPU 18,16,FHD,Non-Touch,Laptop,GER,3723804
CPU 20,RAM 3,S 53,GPU 19,DT,DT,DT,Desktop,CAN,2370677.2908
CPU 22,RAM 3,S 13,GPU 3,DT,DT,DT,Desktop,GER,5413967.566
CPU 35,RAM 3,S 70,GPU 9,DT,DT,DT,Desktop,IND,4718314.37
CPU 10,RAM 3,S 52,GPU 18,DT,DT,DT,Desktop,IND,2477586.174
CPU 25,RAM 15,S 54,GPU 19,15,FHD,Non-Touch,Laptop,AUS,1539687.555
CPU 20,RAM 15,S 47,GPU 5,15,FHD,Non-Touch,Laptop,CHN,2651292
CPU 1,RAM 7,S 52,GPU 2,17,FHD,Non-Touch,Laptop,CAN,6340259.5984
CPU 20,RAM 15,S 41,GPU 17,17,FHD,Non-Touch,Laptop,USA,3139410.96
CPU 20,RAM 14,S 53,GPU 4,15,FHD,Non-Touch,Laptop,CHN,1176234.192
CPU 18,RAM 13,S 23,GPU 4,15,HD+,Non-Touch,Laptop,GER,584576.3896
CPU 25,RAM 13,S 23,GPU 28,21,FHD,Non-Touch,Desktop,AUS,1213642.9242
CPU 22,RAM 15,S 41,GPU 26,15,FHD,Non-Touch,Laptop,FRA,1997925.93
CPU 25,RAM 15,S 23,GPU 28,21,FHD,Touch,Desktop,BRA,1151481.92306
CPU 44,RAM 3,S 23,GPU 28,21,FHD,Non-Touch,Desktop,FRA,562505.937
CPU 7,RAM 15,S 39,GPU 28,14,FHD,Non-Touch,Laptop,AUS,635458.11
CPU 12,RAM 1,S 54,GPU 18,DT,DT,DT,Desktop,FRA,1304050.902
CPU 25,RAM 13,S 4,GPU 28,15,HD+,Non-Touch,Laptop,AUS,1037020.32
CPU 22,RAM 3,S 56,GPU 17,DT,DT,DT,Desktop,FRA,2090633.874
CPU 22,RAM 3,S 35,GPU 26,DT,DT,DT,Desktop,FRA,2399025.888
CPU 20,RAM 15,S 52,GPU 2,17,QHD+,Non-Touch,Laptop,GER,5636274
CPU 22,RAM 3,S 29,GPU 18,DT,DT,DT,Desktop,FRA,2518151.853
CPU 20,RAM 7,S 55,GPU 5,DT,DT,DT,Desktop,FRA,2122733.9
CPU 1,RAM 3,S 54,GPU 3,17,FHD,Non-Touch,Laptop,FRA,4966135.811
CPU 22,RAM 3,S 44,GPU 28,DT,DT,DT,Desktop,FRA,2225460.825
CPU 22,RAM 15,S 54,GPU 17,15,FHD,Non-Touch,Laptop,AUS,2765277.27
CPU 2,RAM 15,S 29,GPU 28,DT,DT,DT,Desktop,FRA,778455.846
CPU 19,RAM 2,S 44,GPU 31,DT,DT,DT,Desktop,BRA,7234506.38162
CPU 12,RAM 15,S 4,GPU 10,15,FHD,Non-Touch,Laptop,FRA,709777.6
CPU 20,RAM 3,S 49,GPU 28,13,QHD+,Non-Touch,Laptop,AUS,2344436.85
CPU 22,RAM 3,S 41,GPU 28,15,UHD,Non-Touch,Laptop,AUS,3626906.64
CPU 22,RAM 3,S 52,GPU 26,17,FHD,Non-Touch,Laptop,FRA,4547185.79
CPU 20,RAM 3,S 56,GPU 17,DT,DT,DT,Desktop,CAN,2585645.79
CPU 12,RAM 15,S 41,GPU 28,15,FHD,Non-Touch,Laptop,AUS,1132820.22
CPU 22,RAM 15,S 56,GPU 17,DT,DT,DT,Desktop,IND,2519684.09
CPU 20,RAM 3,S 56,GPU 28,17,FHD,Non-Touch,Laptop,IND,2184575.064
CPU 12,RAM 15,S 54,GPU 10,13,FHD,Non-Touch,Laptop,IND,1310698.97238
CPU 20,RAM 7,S 52,GPU 2,17,FHD,Non-Touch,Laptop,FRA,7132985.734
CPU 20,RAM 3,S 16,GPU 3,DT,DT,DT,0,IND,4181729.076
CPU 1,RAM 7,S 27,GPU 3,17,UHD,Non-Touch,Laptop,IND,6660746.708
CPU 12,RAM 3,S 13,GPU 26,DT,DT,DT,Desktop,FRA,2141985.72
CPU 22,RAM 3,S 53,GPU 17,15,FHD,Non-Touch,Laptop,FRA,1700138.713
CPU 20,RAM 15,S 56,GPU 18,17,FHD,Non-Touch,Laptop,CAN,3427435.83
CPU 20,RAM 3,S 55,GPU 14,17,FHD,Non-Touch,Laptop,IND,2192085.882
CPU 20,RAM 16,S 56,GPU 28,15,FHD,Touch,Laptop,FRA,1188130.685
CPU 25,RAM 15,S 54,GPU 28,17,FHD,Touch,Laptop,FRA,1592058.657
CPU 20,RAM 3,S 46,GPU 28,14,FHD,Non-Touch,Laptop,AUS,1028953.59
CPU 2,RAM 1,S 41,GPU 28,15,FHD,Non-Touch,Laptop,IND,759549.952
CPU 22,RAM 15,S 23,GPU 12,17,FHD,Non-Touch,Laptop,GER,2202153.786
CPU 19,RAM 15,S 70,GPU 14,DT,DT,DT,Desktop,FRA,2835741.678
CPU 20,RAM 3,S 49,GPU 14,15,FHD,Non-Touch,Laptop,AUS,3651895.17
CPU 20,RAM 15,S 54,GPU 14,15,FHD,Touch,Laptop,CAN,3175972.3177
CPU 20,RAM 3,S 70,GPU 3,17,FHD,Non-Touch,Laptop,CHN,8799336
CPU 20,RAM 3,S 54,GPU 28,15,QHD+,Non-Touch,Laptop,GBR,4464624.199
CPU 20,RAM 3,S 55,GPU 26,DT,DT,DT,0,IND,3383255.526
CPU 26,RAM 13,S 39,GPU 28,15,HD+,Non-Touch,Laptop,AUS,474042.66
CPU 20,RAM 3,S 5,GPU 3,17,UHD,Non-Touch,Laptop,CAN,4673254.95
CPU 12,RAM 15,S 41,GPU 28,14,FHD,Non-Touch,Laptop,AUS,1190011.095
CPU 20,RAM 3,S 28,GPU 7,DT,DT,DT,Desktop,IND,2049908.45136
CPU 40,RAM 13,S 40,GPU 28,15,HD+,Touch,Laptop,AUS,776171.5101
CPU 1,RAM 3,S 54,GPU 2,15,FHD,Non-Touch,Laptop,USA,4042192.10472
CPU 20,RAM 3,S 4,GPU 17,DT,DT,DT,Desktop,IND,2375428.972
CPU 25,RAM 15,S 53,GPU 8,DT,DT,DT,Desktop,FRA,1075437.545
CPU 20,RAM 7,S 55,GPU 3,DT,DT,DT,Desktop,IND,2209253.466
CPU 7,RAM 13,S 40,GPU 28,15,HD+,Non-Touch,Laptop,FRA,591779.566
CPU 44,RAM 13,S 23,GPU 28,23,FHD,Non-Touch,Desktop,USA,779242.464
CPU 25,RAM 15,S 40,GPU 28,14,FHD,Non-Touch,Laptop,IND,889939.008
